timestamp,building_id,floor,electricity_kwh,water_liters,hvac_kwh,lighting_kwh,equipment_kwh,occupancy,outdoor_temperature,indoor_temperature,energy_cost,peak_hour
2026-03-01 03:00,B1,3,71.51,90.7,19.52,8.88,43.11,8,22.4,21.3,7.87,0
2026-03-01 06:00,B3,2,97.44,163.2,49.95,20.47,27.02,18,30.9,22.8,10.72,0
2026-03-01 14:00,B2,3,54.81,147.8,15.0,19.39,20.42,15,20.8,23.4,6.03,0
2026-03-01 17:00,B3,4,74.94,181.1,31.09,19.43,24.42,17,27.7,23.4,8.24,0
2026-03-01 21:00,B3,1,51.43,140.4,15.0,9.67,26.76,14,18.8,21.6,5.66,0
2026-03-02 03:00,B1,3,47.23,31.9,19.44,5.81,21.98,2,24.4,22.7,5.2,0
2026-03-02 07:00,B3,3,100.46,71.5,62.02,19.47,18.97,7,33.2,22.9,11.05,0
2026-03-02 13:00,B1,4,141.13,1029.2,55.83,34.12,51.18,118,25.1,23.3,25.4,1
2026-03-02 21:00,B3,4,35.48,47.3,16.0,5.87,13.61,4,24.5,23.5,3.9,0
2026-03-03 05:00,B3,1,62.69,129.3,25.99,10.01,26.69,14,24.9,22.5,6.9,0
2026-03-03 11:00,B3,3,123.61,1042.2,36.88,35.87,50.86,118,20.0,22.1,13.6,0
2026-03-03 14:00,B3,3,156.63,755.9,85.33,31.04,40.26,85,33.2,22.3,28.19,1
2026-03-03 17:00,B3,3,152.53,912.7,75.64,34.39,42.5,106,26.8,21.3,27.46,1
2026-03-03 20:00,B1,4,87.71,52.0,49.53,18.03,20.15,4,32.7,23.4,9.65,0
2026-03-04 04:00,B1,5,79.66,113.5,52.19,8.37,19.1,9,31.6,22.7,8.76,0
2026-03-04 08:00,B1,1,122.05,768.3,49.23,29.37,43.45,89,24.1,22.5,13.43,0
2026-03-04 11:00,B2,1,164.4,1064.1,75.04,34.7,54.66,122,27.3,21.7,18.08,0
2026-03-04 19:00,B2,2,58.28,123.7,15.0,19.05,24.23,11,19.7,22.6,6.41,0
2026-03-04 22:00,B1,4,69.59,48.2,44.99,6.02,18.58,3,31.1,23.0,7.65,0
2026-03-05 02:00,B1,4,80.93,64.6,48.86,8.45,23.62,3,32.5,23.1,8.9,0
2026-03-05 06:00,B1,4,74.94,123.7,41.62,18.29,15.03,12,26.7,21.5,8.24,0
2026-03-05 14:00,B2,4,197.38,1378.9,101.21,42.16,54.01,160,30.5,22.8,35.53,1
2026-03-05 17:00,B3,3,121.77,1079.2,41.84,36.19,43.74,124,19.0,22.5,21.92,1
2026-03-05 20:00,B3,1,92.61,36.7,54.17,18.16,20.28,3,30.2,21.6,10.19,0
2026-03-06 02:00,B2,2,75.23,87.5,49.11,8.22,17.9,8,30.1,21.8,8.28,0
2026-03-06 05:00,B1,4,59.67,63.5,37.38,6.09,16.2,3,29.2,22.4,6.56,0
2026-03-06 09:00,B2,3,151.62,1300.9,50.18,41.45,59.99,150,20.8,23.1,16.68,0
2026-03-06 15:00,B3,1,162.85,647.5,101.0,29.33,32.52,74,34.9,21.3,29.31,1
2026-03-06 21:00,B1,3,53.29,20.0,31.02,6.42,15.85,1,27.1,21.6,5.86,0
2026-03-07 03:00,B1,4,64.79,327.6,33.97,8.59,22.23,5,27.9,22.1,7.13,0
2026-03-07 07:00,B2,2,49.27,64.1,15.0,17.53,16.74,6,18.8,21.9,5.42,0
2026-03-07 15:00,B3,2,123.1,95.7,77.21,19.93,25.96,10,34.7,21.6,13.54,0
2026-03-07 21:00,B2,2,41.44,84.0,15.0,6.32,20.12,8,22.8,23.0,4.56,0
2026-03-08 03:00,B2,2,53.96,162.9,15.0,10.14,28.82,17,22.0,22.7,5.94,0
2026-03-08 11:00,B3,5,63.93,123.8,24.39,20.84,18.7,13,24.0,21.1,7.03,0
2026-03-08 17:00,B2,5,122.75,221.1,79.75,19.58,23.42,23,35.7,21.3,13.5,0
2026-03-08 21:00,B2,4,41.61,164.5,15.0,9.24,17.37,15,19.3,22.7,4.58,0
2026-03-09 05:00,B2,4,78.78,88.1,47.75,8.72,22.31,6,30.5,22.4,8.67,0
2026-03-09 11:00,B2,5,162.45,754.9,89.8,30.64,42.01,86,33.0,21.8,17.87,0
2026-03-09 15:00,B3,4,197.2,1338.0,100.65,39.35,57.2,154,32.3,23.4,35.5,1
2026-03-09 19:00,B3,3,53.9,33.1,15.0,18.95,19.95,0,22.0,21.5,5.93,0
2026-03-09 23:00,B3,4,68.87,33.4,37.78,7.58,23.51,0,26.9,21.6,7.58,0
2026-03-10 07:00,B1,5,56.89,145.8,15.0,19.49,22.4,14,22.5,23.1,6.26,0
2026-03-10 15:00,B3,5,148.92,1012.3,65.72,35.78,47.42,117,25.7,23.3,26.81,1
2026-03-10 21:00,B3,4,69.91,53.8,47.04,6.0,16.87,2,29.3,21.7,7.69,0
2026-03-11 01:00,B1,4,86.36,28.9,44.5,23.3,18.56,2,30.5,22.8,9.5,0
2026-03-11 04:00,B3,4,65.63,99.1,30.08,8.91,26.64,9,26.6,23.4,7.22,0
2026-03-11 08:00,B2,2,128.56,941.5,49.66,34.39,44.51,109,22.9,22.2,14.14,0
2026-03-11 12:00,B3,5,128.7,1158.0,42.08,36.05,50.57,132,18.5,22.0,23.17,1
2026-03-11 18:00,B2,3,172.75,1357.1,68.75,40.38,63.62,157,21.8,21.8,31.09,1
2026-03-12 02:00,B1,5,45.61,92.1,15.0,8.39,22.22,7,18.9,23.4,5.02,0
