timestamp,building_id,floor,room_id,room_type,capacity,current_occupancy,occupancy_percentage,entry_count,exit_count,day_type,hour,temperature,utilization_status
2026-03-01 08:30,B3,3,CAF-B3316,Cafeteria,120,11,9.2,7,9,Weekend,8,22.9,Underutilized
2026-03-01 09:00,B2,4,OFF-B2442,Office,40,1,2.5,11,6,Weekend,9,22.9,Underutilized
2026-03-01 09:45,B1,4,CONF-B1436,Conference Room,100,0,0.0,6,3,Weekend,9,23.8,Underutilized
2026-03-01 10:30,B3,3,CONF-B3358,Conference Room,100,3,3.0,13,0,Weekend,10,24.9,Underutilized
2026-03-01 11:00,B3,1,CLASS-B3112,Classroom,50,2,4.0,8,4,Weekend,11,25.4,Underutilized
2026-03-01 12:00,B1,3,OFF-B1329,Office,40,2,5.0,11,15,Weekend,12,21.3,Underutilized
2026-03-01 12:45,B1,5,OFF-B1520,Office,25,0,0.0,14,3,Weekend,12,23.9,Underutilized
2026-03-01 13:45,B3,2,MEET-B3235,Meeting Room,12,1,8.3,14,4,Weekend,13,20.9,Underutilized
2026-03-01 14:15,B2,3,CONF-B2318,Conference Room,100,0,0.0,11,14,Weekend,14,20.8,Underutilized
2026-03-01 15:00,B3,3,OFF-B3345,Office,40,5,12.5,6,13,Weekend,15,21.1,Underutilized
2026-03-01 15:45,B1,1,LAB-B1193,Laboratory,15,2,13.3,0,12,Weekend,15,24.8,Underutilized
2026-03-01 16:45,B3,5,OFF-B3553,Office,25,0,0.0,6,10,Weekend,16,22.2,Underutilized
2026-03-01 17:15,B2,3,CLASS-B2361,Classroom,50,54,108.0,6,4,Weekend,17,23.8,Overcrowded
2026-03-01 17:45,B2,1,CLASS-B2113,Classroom,50,3,6.0,11,6,Weekend,17,21.1,Underutilized
2026-03-01 18:30,B2,3,LAB-B2340,Laboratory,15,1,6.7,9,1,Weekend,18,21.7,Underutilized
2026-03-01 19:15,B3,4,CAF-B3495,Cafeteria,120,0,0.0,0,0,Weekend,19,24.4,Underutilized
2026-03-01 20:15,B3,1,OFF-B3162,Office,25,3,12.0,2,0,Weekend,20,22.9,Underutilized
2026-03-01 20:30,B1,3,OFF-B1398,Office,40,0,0.0,1,1,Weekend,20,23.1,Underutilized
2026-03-01 20:45,B1,4,CONF-B1423,Conference Room,100,3,3.0,0,2,Weekend,20,24.5,Underutilized
2026-03-01 21:00,B1,2,MEET-B1232,Meeting Room,12,1,8.3,2,2,Weekend,21,25.0,Underutilized
2026-03-01 22:00,B1,1,MEET-B1176,Meeting Room,20,2,10.0,2,2,Weekend,22,24.9,Underutilized
2026-03-01 22:15,B3,5,OFF-B3552,Office,25,3,12.0,0,2,Weekend,22,23.8,Underutilized
2026-03-01 22:45,B1,1,OFF-B1167,Office,25,2,8.0,2,2,Weekend,22,21.0,Underutilized
2026-03-01 23:30,B2,2,OFF-B2224,Office,25,1,4.0,0,1,Weekend,23,21.9,Underutilized
2026-03-02 00:00,B3,4,COM-B3458,Common Area,60,0,0.0,2,2,Weekday,0,25.2,Underutilized
2026-03-02 00:45,B3,1,MEET-B3149,Meeting Room,20,0,0.0,0,0,Weekday,0,22.5,Underutilized
2026-03-02 01:15,B2,4,CAF-B2434,Cafeteria,120,10,8.3,0,1,Weekday,1,24.4,Underutilized
2026-03-02 01:45,B2,5,LAB-B2514,Laboratory,15,1,6.7,1,2,Weekday,1,24.6,Underutilized
2026-03-02 02:30,B2,5,LAB-B2517,Laboratory,15,0,0.0,0,2,Weekday,2,20.6,Underutilized
2026-03-02 03:30,B1,4,OFF-B1455,Office,25,27,108.0,1,0,Weekday,3,25.1,Overcrowded
2026-03-02 04:00,B2,4,LAB-B2457,Laboratory,15,1,6.7,2,2,Weekday,4,21.9,Underutilized
2026-03-02 05:00,B1,2,COM-B1294,Common Area,60,2,3.3,1,2,Weekday,5,20.7,Underutilized
2026-03-02 05:15,B3,1,CAF-B3146,Cafeteria,120,5,4.2,1,0,Weekday,5,22.3,Underutilized
2026-03-02 06:15,B1,2,CAF-B1218,Cafeteria,120,4,3.3,1,0,Weekday,6,25.5,Underutilized
2026-03-02 06:30,B3,4,LAB-B3454,Laboratory,15,1,6.7,0,2,Weekday,6,24.4,Underutilized
2026-03-02 07:30,B3,4,MEET-B3498,Meeting Room,12,0,0.0,2,0,Weekday,7,20.6,Underutilized
2026-03-02 08:15,B3,2,COM-B3226,Common Area,60,39,65.0,7,2,Weekday,8,21.5,Normally Utilized
2026-03-02 08:30,B3,2,CAF-B3225,Cafeteria,120,80,66.7,9,5,Weekday,8,21.2,Normally Utilized
2026-03-02 09:00,B2,4,CAF-B2417,Cafeteria,120,57,47.5,2,8,Weekday,9,21.4,Normally Utilized
2026-03-02 09:15,B1,3,OFF-B1329,Office,25,13,52.0,5,13,Weekday,9,21.7,Normally Utilized
2026-03-02 09:45,B2,2,CLASS-B2254,Classroom,50,41,82.0,12,10,Weekday,9,21.6,Highly Utilized
2026-03-02 10:30,B2,3,COM-B2364,Common Area,60,50,83.3,4,0,Weekday,10,22.4,Highly Utilized
2026-03-02 11:30,B1,3,MEET-B1367,Meeting Room,20,15,75.0,4,3,Weekday,11,20.9,Highly Utilized
2026-03-02 12:30,B1,3,MEET-B1389,Meeting Room,12,7,58.3,12,1,Weekday,12,25.1,Normally Utilized
2026-03-02 13:15,B3,1,MEET-B3136,Meeting Room,12,10,83.3,9,0,Weekday,13,21.4,Highly Utilized
2026-03-02 13:30,B2,3,COM-B2335,Common Area,60,45,75.0,15,4,Weekday,13,21.7,Highly Utilized
2026-03-02 14:15,B1,1,CAF-B1169,Cafeteria,120,110,91.7,7,9,Weekday,14,24.9,Overcrowded
2026-03-02 15:00,B1,4,CAF-B1455,Cafeteria,120,85,70.8,11,15,Weekday,15,20.7,Highly Utilized
