timestamp,event_id,building_id,access_point,person_id,person_type,access_type,authentication_method,entry_exit,access_status,visitor_id,location,risk_level
2026-03-01 08:45,EVT-00001,B1,Parking #B1-F2,EMP-843,Employee,Parking,Access Card,Exit,Authorized,N/A,Building B1 (Floor 2 - Parking),Low
2026-03-01 09:15,EVT-00002,B1,Main Entrance #B1-F1,ADM-97,Administrator,Main Entrance,Biometric,Exit,Authorized,N/A,Building B1 (Floor 1 - Main Entrance),Low
2026-03-01 10:00,EVT-00003,B1,Parking #B1-F1,EMP-799,Employee,Parking,Biometric,Exit,Authorized,N/A,Building B1 (Floor 1 - Parking),Low
2026-03-01 10:20,EVT-00004,B2,Main Entrance #B2-F4,VIS-513,Visitor,Main Entrance,RFID,Exit,Authorized,VIS-513,Building B2 (Floor 4 - Main Entrance),Low
2026-03-01 10:50,EVT-00005,B2,Laboratory #B2-F5,UNK-999,Unknown,Laboratory,RFID,Entry,Authorized,N/A,Building B2 (Floor 5 - Laboratory),Low
2026-03-01 11:00,EVT-00006,B2,Main Entrance #B2-F5,VIS-514,Visitor,Main Entrance,RFID,Entry,Authorized,VIS-514,Building B2 (Floor 5 - Main Entrance),Low
2026-03-01 11:20,EVT-00007,B3,Server Room #B3-F1,EMP-160,Employee,Server Room,Visitor Pass,Exit,Authorized,N/A,Building B3 (Floor 1 - Server Room),Low
2026-03-01 11:30,EVT-00008,B1,Main Entrance #B1-F4,UNK-999,Unknown,Main Entrance,Access Card,Exit,Denied,N/A,Building B1 (Floor 4 - Main Entrance),Medium
2026-03-01 11:50,EVT-00009,B2,Laboratory #B2-F4,CON-334,Contractor,Laboratory,RFID,Exit,Authorized,N/A,Building B2 (Floor 4 - Laboratory),Low
2026-03-01 12:10,EVT-00010,B2,Emergency Exit #B2-F4,VIS-761,Visitor,Emergency Exit,Biometric,Exit,Authorized,VIS-761,Building B2 (Floor 4 - Emergency Exit),Low
2026-03-01 12:20,EVT-00011,B3,Office #B3-F1,EMP-366,Employee,Office,Visitor Pass,Exit,Authorized,N/A,Building B3 (Floor 1 - Office),Low
2026-03-01 12:50,EVT-00012,B3,Restricted Area #B3-F5,EMP-858,Employee,Restricted Area,Visitor Pass,Exit,Authorized,N/A,Building B3 (Floor 5 - Restricted Area),Low
2026-03-01 13:35,EVT-00013,B3,Server Room #B3-F1,CON-380,Contractor,Server Room,RFID,Exit,Authorized,N/A,Building B3 (Floor 1 - Server Room),Low
2026-03-01 14:20,EVT-00014,B3,Server Room #B3-F3,CON-468,Contractor,Server Room,Biometric,Exit,Authorized,N/A,Building B3 (Floor 3 - Server Room),Low
2026-03-01 14:30,EVT-00015,B1,Main Entrance #B1-F2,CON-388,Contractor,Main Entrance,Biometric,Exit,Authorized,N/A,Building B1 (Floor 2 - Main Entrance),Low
2026-03-01 14:50,EVT-00016,B1,Server Room #B1-F2,CON-356,Contractor,Server Room,RFID,Exit,Suspicious,N/A,Building B1 (Floor 2 - Server Room),High
